#      TCP    DCTCP    PIFO    SPPIFO    XIFO
VoIP     91955.52467270066    54028.84881221538    26251.95750851431    26639.490195294205    27056.608459525723    
Game     88289.21544727121    53073.156092813115    24011.782116969956    24520.477098867523    24412.593150032673    
AR       30671.822210654605    18777.008497972758    7763.359408200207    8008.868063166598    7976.285169218985    
Web      151379.80261794614    94926.10828782643    43768.74595301043    44094.16245199854    44084.058866925465    
SSH      12119.156870304034    7467.965492627882    3263.30724133348    3302.671521006095    3319.395718792376    
Audio    88863.96285849642    54129.3014017146    26553.08650217082    27900.149244708657    27807.427262466485    
Video    91424.63543532275    56567.92014005215    24989.40667468477    25627.25815231445    25772.57177710744    
Backup   16887.219594009715    10239.783598942331    5418.155637544848    5619.246074134098    5545.1470260302485    
Updat    18179.95137312127    12065.523431906633    5369.317566915388    5316.6220806486745    5309.965690517893    
Default  12758.414282312659    8013.985868021736    3359.6647949590597    3593.8760276799035    3527.78651354693    
