#  FIFO    SPPIFO  SPPIFOFIXED Fixed_queue_bounds XIFO
0   0   0   0   0   0 
1   6171   74   75   78   72 
2   7701   137   87   158   147 
3   8227   157   24   0   153 
4   8689   147   50   83   126 
5   8726   143   89   178   115 
6   9116   130   50   0   109 
7   9042   104   69   80   110 
8   9303   82   106   160   123 
9   9343   66   48   0   114 
10   9454   62   73   99   102 
11   9627   59   103   199   135 
12   9505   36   79   0   131 
13   9672   30   66   86   141 
14   9659   38   107   187   117 
15   9665   35   89   0   128 
16   9626   27   73   100   131 
17   9829   30   104   215   144 
18   9625   23   85   0   129 
19   9662   23   80   112   154 
20   9661   16   90   237   136 
21   9830   22   127   0   162 
22   9682   26   91   121   179 
23   9821   27   150   245   162 
24   9853   23   126   0   168 
25   9710   29   87   135   189 
26   9856   34   150   271   197 
27   9884   36   146   0   180 
28   9845   34   154   167   217 
29   9794   35   160   300   192 
30   9940   38   178   0   201 
31   9948   44   156   168   183 
32   9869   41   176   316   196 
33   10108   51   187   0   242 
34   9722   41   187   181   224 
35   9908   55   165   355   241 
36   9797   53   255   0   247 
37   9901   55   228   198   256 
38   9853   58   236   416   267 
39   9929   62   274   0   256 
40   9964   58   316   236   259 
41   9674   69   234   461   297 
42   9899   87   302   0   290 
43   9926   86   360   245   316 
44   9921   113   298   468   314 
45   9906   96   373   0   315 
46   9945   106   404   280   377 
47   10093   121   376   543   387 
48   9818   145   426   0   384 
49   9878   151   554   331   402 
50   10068   177   461   616   422 
51   9981   186   520   0   440 
52   9964   188   654   373   427 
53   9820   226   520   739   448 
54   9974   234   559   0   519 
55   9926   264   739   442   469 
56   9699   282   589   805   508 
57   10076   295   689   0   568 
58   9980   330   774   495   652 
59   9876   366   715   919   593 
60   9929   441   769   0   685 
61   9909   494   1008   605   698 
62   10037   492   777   1050   749 
63   9994   546   932   0   807 
64   9869   629   1155   750   869 
65   9838   668   1133   1233   934 
66   10086   716   1120   0   926 
67   9908   809   1170   862   955 
68   10094   887   1295   1468   1074 
69   9993   945   1384   0   1102 
70   9676   1074   1463   1087   1153 
71   10023   1107   1434   1831   1215 
72   10060   1223   1584   0   1349 
73   9933   1421   1741   1237   1401 
74   10007   1492   1598   2156   1433 
75   9915   1630   1851   0   1578 
76   9994   1680   2148   1499   1608 
77   10029   1844   1841   2471   1703 
78   10046   2029   2090   0   1858 
79   9819   2139   2372   1951   1954 
80   10015   2217   2398   2898   2119 
81   10037   2334   2381   0   2096 
82   9988   2564   2639   2260   2320 
83   9946   2642   2567   3451   2429 
84   10007   2862   2584   0   2364 
85   10031   2871   3030   2602   2533 
86   10054   3034   2969   3769   2719 
87   9918   3311   2812   0   2785 
88   9988   3254   3033   2855   2812 
89   10057   3521   3265   3932   3031 
90   9898   3569   3191   0   3025 
91   9837   3713   3002   2968   2871 
92   10124   3859   3051   4022   2878 
93   10038   3919   2680   0   2682 
94   9952   4063   2741   1811   2704 
95   10084   4235   2978   2834   2631 
96   9886   4209   2759   3361   2684 
97   10064   4155   3066   3760   2423 
98   9821   4357   3675   3974   2152 
99   9764   4344   4039   4172   2896 
